membro;tipo;elemento;descricao;detalhe;
ATE730;Programa;ATD751;Distribuidor principal por formato de entrada;;
ATE730;Programa;ATR751;Descompressor de Mensagem;;
ATE730;Programa;ATR752;Compressor de Mensagem;;
ATD751;Programa;ATE731;Formato 01: Solicitudes de preautorizaciones y autorizaciones; ;
ATD751;Programa;ATE732;Formato 03: Solicitud detraspaso entre cuentas; ;
ATD751;Programa;ATE733;Formato 04: Consulta de datos de titulares; ;  
ATD751;Programa;ATE734;Formato 06: Comunicacionesde autorización; ;  
ATD751;Programa;ATE735;Formato 08 e 38: Comunicación deanulación; ;  
ATD751;Programa;ATE736;Formato 10: Comunicación decapturas MERCHANT; ;  
ATD751;Programa;ATE737;Formato 11:Comunicación deactualización del archivode titulares; ;  
ATD751;Programa;ATE738;Formato 28: Responsável por atualizar; ;  
ATD751;Programa;ATE739;Formato 42: Transferencias; ;  
ATD751;Programa;ATE740;Formato 22: Responsável por atualizar; ;  
ATD751;Programa;ATE741;Formato 40: Responsável por atualizar; ;  
ATD751;Programa;ATE742;Formato 44: Solicitud de Pagos; ;  
ATD751;Programa;ATE743;Formato 52: Comunicación deEjecución de un Script; ;  
ATD751;Programa;ATE744;Formato 39 e 80: Consulta posiblesfinanciaciones; ;  
ATD751;Programa;ATE757;Formato 24: Responsável por atualizar; ;  
ATD751;Programa;ATE788;Responsável por atualizar; ;  
ATD751;Programa;ATRYFE;Responsável por atualizar; ;  
ATE731;Programa;ATRGP01;Responsável por atualizar; ;  
ATE731;Programa;ATR007;Responsável por atualizar; ;  
ATE731;Programa;ATR740;Responsável por atualizar; ;  
ATE731;Programa;ATR770;Responsável por atualizar; ;  
ATE731;Programa;PRRGP04;Responsável por atualizar; ;  
ATE731;Tabela;MPDT004;Tabela de Autorizações; Função: Insert
ATE731;Tabela;MPDT007;Tabela de Contratos ;Select
ATE731;Tabela;MPDT009;Tipo de Acesso: ;Update
ATE731;Tabela;MPDT043;Tipo de Acesso: ;Select
ATE731;Tabela;MPDT044;Tipo de Acesso: ;Select
ATE731;Tabela;MPDT059;Tipo de Acesso: ;Select
ATE731;Tabela;MPDT109;Tipo de Acesso: ;Update
ATE731;Tabela;MPDT160;Tipo de Acesso: ;Select
ATE731;Tabela;MPDT163;Tipo de Acesso: ;Select
ATE731;Tabela;MPDT164;Tipo de Acesso: ;Select
ATE731;Tabela;MPDT169;Tipo de Acesso: ;Select
ATE731;Tabela;MPDT225;Tipo de Acesso: ;Select
ATE731;Tabela;MPDT309;Tipo de Acesso: ;Select
ATE731;Tabela;MPDT761;Tipo de Acesso: ;Select
ATE731;Tabela;PCSTBA35_HISTRO_HBLCO;Tipo de Acesso: ;Insert
ATE732;Programa;ATE754;;  
ATE732;Programa;ATRG005;;  
ATE732;Programa;ATR740;;  
ATE732;Programa;ATR770;;  
ATE732;Tabela;MPDT004;Tabela de Autorizações ;Insert
ATE732;Tabela;MPDT007;Tipo de Acesso: ;Select
ATE732;Tabela;MPDT009;Tipo de Acesso: ;Update
ATE732;Tabela;MPDT025;Tipo de Acesso: ;Select
ATE732;Tabela;MPDT043;Tipo de Acesso: ;Select
ATE732;Tabela;MPDT109;Tipo de Acesso: ;Update
ATE732;Tabela;MPDT147;Tipo de Acesso: ;Select
ATE732;Tabela;MPDT163;Tipo de Acesso: ;Select
ATE732;Tabela;MPDT164;Tipo de Acesso: ;Select
ATE732;Tabela;MPDT310;Tipo de Acesso: ;Select
ATE733;Programa;ATE766;;  
ATE733;Programa;ATRGP01;;  
ATE733;Programa;ATR068;;  
ATE733;Programa;ATR740;;  
ATE733;Programa;ATR770;;  
ATE733;Programa;PCSPO1AA;;  
ATE733;Programa;PRRGP04;;  
ATE733;Tabela;MPDT004;Tabela de Autorizações ;Insert
ATE733;Tabela;MPDT007;Tipo de Acesso: ;Select
ATE733;Tabela;MPDT009;Tipo de Acesso: ;Update
ATE733;Tabela;MPDT025;Tipo de Acesso: ;Select
ATE733;Tabela;MPDT043;Tipo de Acesso: ;Select
ATE733;Tabela;MPDT060;Tipo de Acesso: ;Select
ATE733;Tabela;MPDT102;Tipo de Acesso: ;Insert
ATE733;Tabela;MPDT109;Tipo de Acesso: ;Update
ATE733;Tabela;MPDT147;Tipo de Acesso: ;Select
ATE733;Tabela;MPDT163;Tipo de Acesso: ;Select
ATE733;Tabela;MPDT164;Tipo de Acesso: ;Select
ATE733;Tabela;MPDT221;Tipo de Acesso: ;Select
ATE733;Tabela;MPDT310;Tipo de Acesso: ;Select
ATE733;Tabela;MPDT364;Tipo de Acesso: ;Select
ATE733;Tabela;PCSTBI04_CI_MPDT009;Tipo de Acesso: ;Select
ATE734;Programa;ATE755;;  
ATE734;Programa;ATE790;;  
ATE734;Programa;ATRGP01;;  
ATE734;Programa;ATR068;;  
ATE734;Programa;ATR740;;  
ATE734;Programa;ATR770;;  
ATE734;Programa;PRRGP04;;  
ATE734;Tabela;MPDT004;Tabela de Autorizações ;Insert
ATE734;Tabela;MPDT007;Tipo de Acesso: ;Select
ATE734;Tabela;MPDT009;Tipo de Acesso: ;Update
ATE734;Tabela;MPDT025;Tipo de Acesso: ;Select
ATE734;Tabela;MPDT043;Tipo de Acesso: ;Select
ATE734;Tabela;MPDT060;Tipo de Acesso: ;Select
ATE734;Tabela;MPDT109;Tipo de Acesso: ;Update
ATE734;Tabela;MPDT147;Tipo de Acesso: ;Select
ATE734;Tabela;MPDT163;Tipo de Acesso: ;Select
ATE734;Tabela;MPDT164;Tipo de Acesso: ;Select
ATE734;Tabela;MPDT169;Tipo de Acesso: ;Select
ATE734;Tabela;MPDT221;Tipo de Acesso: ;Select
ATE734;Tabela;MPDT225;Tipo de Acesso: ;Select
ATE734;Tabela;MPDT310;Tipo de Acesso: ;Select
ATE734;Tabela;MPDT761;Tipo de Acesso: ;Select
ATE734;Tabela;PCSTBA35_HISTRO_HBLCO;Tipo de Acesso: ;Insert
ATE735;Programa;ATE755;;  
ATE735;Programa;ATE790;;  
ATE735;Programa;ATR068;;  
ATE735;Programa;ATR740;;  
ATE735;Programa;ATR770;;  
ATE735;Programa;PCSPO1AA;;  
ATE735;Programa;PRRGP04;;  
ATE735;Tabela;MPDT003;Tipo de Acesso: ;Select
ATE735;Tabela;MPDT004;Tabela de Autorizações ;Select
ATE735;Tabela;MPDT007;Tipo de Acesso: ;Select
ATE735;Tabela;MPDT009;Tipo de Acesso: ;Select
ATE735;Tabela;MPDT025;Tipo de Acesso: ;Select
ATE735;Tabela;MPDT043;Tipo de Acesso: ;Select
ATE735;Tabela;MPDT147;Tipo de Acesso: ;Select
ATE735;Tabela;MPDT163;Tipo de Acesso: ;Select
ATE735;Tabela;MPDT164;Tipo de Acesso: ;Select
ATE735;Tabela;MPDT169;Tipo de Acesso: ;Select
ATE735;Tabela;MPDT225;Tipo de Acesso: ;Select
ATE735;Tabela;MPDT310;Tipo de Acesso: ;Select
ATE735;Tabela;MPDT761;Tipo de Acesso: ;Select
ATE736;Programa;ATE772;;  
ATE736;Programa;ATR740;;  
ATE736;Tabela;MPDT004;Tabela de Autorizações ;Insert
ATE736;Tabela;MPDT007;Tipo de Acesso: ;Select
ATE736;Tabela;MPDT043;Tipo de Acesso: ;Select
ATE736;Tabela;MPDT310;Tipo de Acesso: ;Select
ATE737;Programa;ATE756;;  
ATE737;Programa;ATR770;;  
ATE737;Tabela;MPDT004;Tabela de Autorizações ;Insert
ATE737;Tabela;MPDT007;Tipo de Acesso: ;Select
ATE737;Tabela;MPDT009;Tipo de Acesso: ;Select
ATE737;Tabela;MPDT025;Tipo de Acesso: ;Select
ATE737;Tabela;MPDT043;Tipo de Acesso: ;Select
ATE738;Programa;;;  
ATE739;Programa;ATE754;;  
ATE739;Programa;ATE777;;  
ATE739;Programa;ATE778;;  
ATE739;Programa;ATE790;;  
ATE739;Programa;ATRG005;;  
ATE739;Programa;ATR740;;  
ATE739;Programa;ATR770;;  
ATE739;Tabela;MPDT004;Tabela de Autorizações ;Insert
ATE739;Tabela;MPDT007;Tipo de Acesso: ;Select
ATE739;Tabela;MPDT009;Tipo de Acesso: ;Select
ATE739;Tabela;MPDT025;Tipo de Acesso: ;Select
ATE739;Tabela;MPDT043;Tipo de Acesso: ;Select
ATE739;Tabela;MPDT147;Tipo de Acesso: ;Select
ATE739;Tabela;MPDT163;Tipo de Acesso: ;Select
ATE739;Tabela;MPDT164;Tipo de Acesso: ;Select
ATE739;Tabela;MPDT310;Tipo de Acesso: ;Select
ATE740;Programa;ATRG011;;  
ATE740;Programa;ATR740;;  
ATE740;Programa;ATR770;;  
ATE740;Tabela;MPDT004;Tabela de Autorizações ;Insert
ATE740;Tabela;MPDT007;Tipo de Acesso: ;Select
ATE740;Tabela;MPDT009;Tipo de Acesso: ;Select
ATE740;Tabela;MPDT025;Tipo de Acesso: ;Select
ATE740;Tabela;MPDT043;Tipo de Acesso: ;Select
ATE740;Tabela;MPDT102;Tipo de Acesso: ;Insert
ATE741;Programa;ATRG012;;  
